formatIdentifier,mimeType,extension
-//ecoinformatics.org//eml-access-2.0.0beta4//EN,text/xml,.xml
-//ecoinformatics.org//eml-access-2.0.0beta6//EN,text/xml,.xml
-//ecoinformatics.org//eml-attribute-2.0.0beta4//EN,text/xml,.xml
-//ecoinformatics.org//eml-attribute-2.0.0beta6//EN,text/xml,.xml
-//ecoinformatics.org//eml-constraint-2.0.0beta4//EN,text/xml,.xml
-//ecoinformatics.org//eml-constraint-2.0.0beta6//EN,text/xml,.xml
-//ecoinformatics.org//eml-coverage-2.0.0beta4//EN,text/xml,.xml
-//ecoinformatics.org//eml-coverage-2.0.0beta6//EN,text/xml,.xml
-//ecoinformatics.org//eml-dataset-2.0.0beta4//EN,text/xml,.xml
-//ecoinformatics.org//eml-dataset-2.0.0beta6//EN,text/xml,.xml
-//ecoinformatics.org//eml-distribution-2.0.0beta4//EN,text/xml,.xml
-//ecoinformatics.org//eml-distribution-2.0.0beta6//EN,text/xml,.xml
-//ecoinformatics.org//eml-entity-2.0.0beta4//EN,text/xml,.xml
-//ecoinformatics.org//eml-entity-2.0.0beta6//EN,text/xml,.xml
-//ecoinformatics.org//eml-literature-2.0.0beta4//EN,text/xml,.xml
-//ecoinformatics.org//eml-literature-2.0.0beta6//EN,text/xml,.xml
-//ecoinformatics.org//eml-party-2.0.0beta4//EN,text/xml,.xml
-//ecoinformatics.org//eml-party-2.0.0beta6//EN,text/xml,.xml
-//ecoinformatics.org//eml-physical-2.0.0beta4//EN,text/xml,.xml
-//ecoinformatics.org//eml-physical-2.0.0beta6//EN,text/xml,.xml
-//ecoinformatics.org//eml-project-2.0.0beta4//EN,text/xml,.xml
-//ecoinformatics.org//eml-project-2.0.0beta6//EN,text/xml,.xml
-//ecoinformatics.org//eml-protocol-2.0.0beta4//EN,text/xml,.xml
-//ecoinformatics.org//eml-protocol-2.0.0beta6//EN,text/xml,.xml
-//ecoinformatics.org//eml-resource-2.0.0beta4//EN,text/xml,.xml
-//ecoinformatics.org//eml-resource-2.0.0beta6//EN,text/xml,.xml
-//ecoinformatics.org//eml-software-2.0.0beta4//EN,text/xml,.xml
-//ecoinformatics.org//eml-software-2.0.0beta6//EN,text/xml,.xml
anvl/erc-v02,text/anvl,.anvl
application/mathematica,application/mathematica,.nb
application/msword,application/msword,.doc
application/octet-stream,application/octet-stream,.data
application/pdf,application/pdf,.pdf
application/postscript,application/postscript,.ps
application/rtf,application/rtf,.rtf
application/vnd.ms-excel,application/vnd.ms-excel,.xls
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,.docx
application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/vnd.openxmlformats-officedocument.wordprocessingml.document,.docx
application/x-fasta,application/x-fasta,.fasta
application/zip,application/zip,.zip
audio/x-wav,audio/x-wav,.wav
CF-1.0,application/netcdf,.nc
CF-1.1,application/netcdf,.nc
CF-1.2,application/netcdf,.nc
CF-1.3,application/netcdf,.nc
CF-1.4,application/netcdf,.nc
eml://ecoinformatics.org/eml-2.0.0,text/xml,.xml
eml://ecoinformatics.org/eml-2.0.1,text/xml,.xml
eml://ecoinformatics.org/eml-2.1.0,text/xml,.xml
eml://ecoinformatics.org/eml-2.1.1,text/xml,.xml
FGDC-STD-001-1998,text/xml,.xml
FGDC-STD-001.1-1999,text/xml,.xml
FGDC-STD-001.2-1999,text/xml,.xml
http://digir.net/schema/conceptual/darwin/2003/1.0/darwin2.xsd,text/xml,.xml
http://dublincore.org/schemas/xmls/qdc/2008/02/11/qualifieddc.xsd,text/xml,.xml
http://dublincore.org/schemas/xmls/qdc/2008/02/11/simpledc.xsd,text/xml,.xml
http://purl.org/dryad/terms/,text/xml,.xml
http://rs.tdwg.org/dwc/xsd/simpledarwincore/,text/xml,.xml
http://www.cuahsi.org/waterML/1.0/,text/xml,.xml
http://www.cuahsi.org/waterML/1.1/,text/xml,.xml
http://www.loc.gov/METS/,text/xml,.xml
http://www.openarchives.org/ore/terms,application/rdf+xml,.rdf
http://www.unidata.ucar.edu/namespaces/netcdf/ncml-2.2,text/xml,.xml
http://www.w3.org/2005/Atom,application/atom+xml,.atom
http://www.w3.org/TR/rdf-syntax-grammar,application/rdf+xml,.rdf
http://www.w3.org/TR/rdf-testcases/#ntriples,text/plain,.nt
http://www.w3.org/TR/rdfa-syntax,application/xhtml+xml,.xhtml
image/bmp,image/bmp,.bmp
image/gif,image/gif,.gif
image/jp2,image/jp2,.jpg
image/jpeg,image/jpeg,.jpg
image/png,image/png,.png
image/svg+xml,image/svg+xml,.svg
image/tiff,image/tiff,.tiff
INCITS 453-2009,text/xml,.xml
netCDF-3,application/netcdf,.nc
netCDF-4,application/netcdf,.nc
nexus/1997,text/plain,.nxs
text/csv,text/csv,.csv
text/html,text/html,.html
text/n3,text/n3,.rdf
text/plain,text/plain,.txt
text/turtle,text/turtle,.ttl
text/xml,text/xml,.xml
video/quicktime,video/quicktime,.mov
